,,,,,,
,Job ,Company,Where,When applied ,Date of application ,
,Senior AI Engineer - Multi-Agent Frameworks ,ClickUP,Remote ,Reposted 1 day ago,March 28,
,AI engineer,Automatic ,Globally,Not sure but I know it hadn’t been up long,March 28,
,AI engineer,Microsoft learn Student Community - SMIU,Remote (Germany),7h,March 28,
,Artificial Intelligence Engineer,MPower Plus,Remote Spain,1d,March 28,
,GIS engineer with python ,IntelliJ’s,Remote Spain,1d,3/28/2026,
,AI engineer,RED Global,Remote Spain,2d,March 28,
,Senior Data Scientist,Booksy,Remote Spain,1d,March 28,
,"AI Platform Engineer, Applied AI",Jobgether,Remote Austria ,3 Days,March 27,
,AI Engineer ,Magnitude Consulting,Remote Switzerland,1w,March 27,
,Machine Learning Research Engineer,Miro,EMEA,1d,March 28,
,Senior AI/ML Engineer,Deel,EMEA,1d,March 27,
,AI Engineer ,Everfiled,Remote Spain ,Reposted 2 weeks ago,March 28,
,AI Engineer ,Lifebit,Remote spain (Barcelona),1w,March 28,
,ML solutions Architect ,asobbi,US remote,1w,March 28,
,Data Scientist,Prima,Remote Italy,Reposted 9 hours ,3/28/2026,
,Data Scientist,Feedzai,Remote Portugal,Reposted 9 hours ,March 28,
,AI/ML Engineer,BPM LLP,Remote UK,Reposted 2 hours ,March 28,
,"Sr. data scientist, GenAI",CrowdStrike,Remote Spain,Reposted 10 hours ,March 28,
,Data Analyst,Sporty Group,Remote Globally,Reposted 4 hours ago,March 29,
